"","Address","Number","Street","Number.of.People","Bathrooms","Beds.Average","Full.Beds","Quiet","Fire.Code.Capacity","Minutes.to.Fountain","Minutes.to.Olin","Minutes.to.Gym","Reserve","ADA.Compliance","New","Duplex","Link","X"
"1","162A Church Street","162A","Church Street",2,1,2,2,"NO",20,9,5,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/162_church.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/162_church.htm</a>",NA
"2","162B Church Street","162B","Church Street",2,1,2,2,"NO",17,9,5,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/162_church.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/162_church.htm</a>",NA
"3","240B Court Street","240B","Court Street",2,1,1,0,"NO",11,16,12,16,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/240_Court.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/240_Court.htm</a>",NA
"4","240E Court Street","240E","Court Street",2,1,1,0,"NO",16,16,12,16,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/240_Court.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/240_Court.htm</a>",NA
"5","125 Cross Street","125","Cross Street",2,1,1,0,"NO",8,2,3,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/125_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/125_cross.htm</a>",NA
"6","6 Fountain Avenue","6","Fountain Avenue",2,1.5,2,2,"NO",24,2,6,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/6_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/6_fountain.htm</a>",NA
"7","69A Fountain Avenue","69A","Fountain Avenue",2,1,2,2,"NO",17,1,3,2,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/69_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/69_fountain.htm</a>",NA
"8","69B Fountain Avenue ","69B","Fountain Avenue ",2,1,2,2,"NO",8,1,3,2,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/69_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/69_fountain.htm</a>",NA
"9","136C High Street","136C","High Street",2,1,2,2,"NO",19,9,5,10,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/136_high.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/136_high.htm</a>",NA
"10","124B High Street","124B","High Street",2,1,1,0,"NO",21,10,6,10,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/124 High.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/124 High.htm</a>",NA
"11","146A High Street","146A","High Street",2,1,2,2,"NO",23,9,5,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/146_high.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/146_high.htm</a>",NA
"12","146C High Street","146C","High Street",2,1,2,2,"NO",21,9,5,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/146_high.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/146_high.htm</a>",NA
"13","223 Pine Street","223","Pine Street",2,1,2,2,"NO",26,4,5,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/223_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/223_pine.htm</a>",NA
"14","203A Pine Street","203A","Pine Street",2,1,2,2,"NO",18,3,6,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/203_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/203_pine.htm</a>",NA
"15","207A Pine Street","207A","Pine Street",2,1,1.5,1,"NO",18,3,6,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/207_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/207_pine.htm</a>",NA
"16","211A Pine Street","211A","Pine Street",2,1,2,2,"NO",15,3,5,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/211_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/211_pine.htm</a>",NA
"17","215A Pine Street","215A","Pine Street",2,1,1,0,"NO",16,3,5,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/215_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/215_pine.htm</a>",NA
"18","215B Pine Street","215B","Pine Street",2,1,1,0,"NO",17,3,5,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/215_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/215_pine.htm</a>",NA
"19","203B Pine Street ","203B","Pine Street ",2,1,2,2,"NO",18,3,6,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/203_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/203_pine.htm</a>",NA
"20","207B Pine Street ","207B","Pine Street ",2,1,1.5,1,"NO",17,3,6,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/207_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/207_pine.htm</a>",NA
"21","211B Pine Street ","211B","Pine Street ",2,1,2,2,"NO",15,3,5,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/211_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/211_pine.htm</a>",NA
"22","261A Pine Street  ","261A","Pine Street  ",2,1,2,2,"NO",15,4,3,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/261_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/261_pine.htm</a>",NA
"23","19 Vine Street","19","Vine Street",2,1,1.5,1,"NO",17,4,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/19_Vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/19_Vine.htm</a>",NA
"24","148C Church","148C","Church Street",3,1,2,3,"NO",22,9,5,10,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/148_Church.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/148_Church.htm</a>",NA
"25","148D Church","148D","Church Street",3,1,2,3,"NO",27,9,5,10,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/148_Church.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/148_Church.htm</a>",NA
"26","267B Court Street","267B","Court Street",3,1,2,3,"NO",21,14,10,14,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/267_court.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/267_court.htm</a>",NA
"27","267C Court Street","267C","Court Street",3,1,2,3,"NO",15,14,10,14,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/267_court.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/267_court.htm</a>",NA
"28","127 Cross Street","127","Cross Street",3,1,2,3,"NO",20,2,4,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/127_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/127_cross.htm</a>",NA
"29","170 Cross Street","170","Cross Street",3,1,2,3,"NO",12,4,5,2,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/170_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/170_cross.htm</a>",NA
"30","115A Cross Street","115A","Cross Street",3,1,1.67,2,"NO",21,2,3,2,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/115 Cross Street.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/115 Cross Street.htm</a>",NA
"31","63 Fountain Avenue","63","Fountain Avenue",3,1,2,3,"NO",24,1,4,2,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/63_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/63_fountain.htm</a>",NA
"32","10A Fountain Avenue","10A","Fountain Avenue",3,1,1.33,1,"NO",23,1,6,3,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/10_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/10_fountain.htm</a>",NA
"33","10B Fountain Avenue ","10B","Fountain Avenue ",3,1,1.33,1,"NO",24,1,6,3,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/10_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/10_fountain.htm</a>",NA
"34","136A High Street","136A","High Street",3,1.5,2,3,"NO",29,9,5,10,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/136_high.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/136_high.htm</a>",NA
"35","126A Knowles Avenue","126A","Knowles Avenue",3,1,2,3,"NO",28,6,8,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/126_knowles.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/126_knowles.htm</a>",NA
"36","126B Knowles Avenue ","126B","Knowles Avenue ",3,1,2,3,"NO",28,6,8,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/ugrad_housing/woodframes.html' target='_blank'>http://wesleyan.edu/reslife/ugrad_housing/woodframes.html</a>",NA
"37","239C Pine Street","239C","Pine Street",3,1,2,3,"NO",23,4,4,5,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/239_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/239_pine.htm</a>",NA
"38","251A Pine Street","251A","Pine Street",3,1,2,3,"NO",23,5,3,5,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/251_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/251_pine.htm</a>",NA
"39","261B Pine Street","261B","Pine Street",3,1,2,3,"NO",16,4,3,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/261_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/261_pine.htm</a>",NA
"40","251B Pine Street ","251B","Pine Street ",3,1,2,3,"NO",22,5,3,5,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/251_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/251_pine.htm</a>",NA
"41","21 Vine Street","21","Vine Street",3,1,2,3,"NO",18,4,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/21_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/21_vine.htm</a>",NA
"42","23A Vine Street","23A","Vine Street",3,1,2,3,"NO",16,4,6,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/23_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/23_vine.htm</a>",NA
"43","23B Vine Street ","23B","Vine Street ",3,1,1.67,2,"NO",15,4,6,4,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/23_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/23_vine.htm</a>",NA
"44","2 Warren Street","2","Warren Street",3,1,1,0,"NO",21,3,5,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/2_warren.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/2_warren.htm</a>",NA
"45","128A Church Street","128A","Church Street",4,1,2,4,"NO",16,10,6,11,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/128_church.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/128_church.htm</a>",NA
"46","128B Church Street","128B","Church Street",4,1,2,4,"NO",16,10,6,11,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/128_church.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/128_church.htm</a>",NA
"47","148A Church Street","148A","Church Street",4,1,2,4,"NO",22,9,5,10,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/148_Church.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/148_Church.htm</a>",NA
"48","162C Church Street","162C","Church Street",4,1,2,4,"NO",31,9,5,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/162_church.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/162_church.htm</a>",NA
"49","264A Court Street","264A","Court Street",4,1,2,4,"NO",27,13,9,13,"NO","NO","NO","YES","<a href='http://www.wesleyan.edu/reslife/housing/woodframe/264 Court street.htm' target='_blank'>http://www.wesleyan.edu/reslife/housing/woodframe/264 Court street.htm</a>",NA
"50","267A Court Street","267A","Court Street",4,1,1.75,3,"NO",23,14,10,14,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/267_court.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/267_court.htm</a>",NA
"51","105 Cross Street","105","Cross Street",4,1,2,4,"NO",19,2,2,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/105_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/105_cross.htm</a>",NA
"52","107 Cross Street","107","Cross Street",4,1.5,2,4,"NO",19,2,2,2,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/107_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/107_cross.htm</a>",NA
"53","109 Cross Street","109","Cross Street",4,1,2,4,"NO",21,2,2,2,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/109_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/109_cross.htm</a>",NA
"54","113 Cross Street","113","Cross Street",4,1.5,2,4,"NO",21,2,3,2,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/113_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/113_cross.htm</a>",NA
"55","131 Cross Street","131","Cross Street",4,1,1.75,3,"NO",19,2,4,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/131_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/131_cross.htm</a>",NA
"56","168 Cross Street","168","Cross Street",4,1,2,4,"NO",20,5,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/168_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/168_cross.htm</a>",NA
"57","190 Cross Street","190","Cross Street",4,1.5,2,4,"NO",24,5,7,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/190_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/190_cross.htm</a>",NA
"58","202 Cross Street","202","Cross Street",4,2,2,4,"NO",20,6,7,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/202_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/202_cross.htm</a>",NA
"59","224 Cross Street","224","Cross Street",4,1.5,2,4,"NO",20,7,8,5,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/224_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/224_cross.htm</a>",NA
"60","2 Fountain Avenue","2","Fountain Avenue",4,1,2,4,"NO",18,2,6,2,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/2_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/2_fountain.htm</a>",NA
"61","7 Fountain Avenue","7","Fountain Avenue",4,1,2,4,"NO",17,1,6,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/7_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/7_fountain.htm</a>",NA
"62","14 Fountain Avenue","14","Fountain Avenue",4,1,2,4,"NO",25,1,6,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/14_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/14_fountain.htm</a>",NA
"63","15 Fountain Avenue","15","Fountain Avenue",4,1,2,4,"NO",18,1,6,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/15_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/15_fountain.htm</a>",NA
"64","24 Fountain Avenue","24","Fountain Avenue",4,1.5,2,4,"NO",16,1,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/24_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/24_fountain.htm</a>",NA
"65","29 Fountain Avenue","29","Fountain Avenue",4,1,2,4,"NO",17,1,5,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/29_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/29_fountain.htm</a>",NA
"66","34 Fountain Avenue","34","Fountain Avenue",4,1,2,4,"NO",23,1,5,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/34_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/34_fountain.htm</a>",NA
"67","35 Fountain Avenue","35","Fountain Avenue",4,1,1.75,3,"NO",20,1,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/35_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/35_fountain.htm</a>",NA
"68","40 Fountain Avenue","40","Fountain Avenue",4,1.5,2,4,"NO",21,1,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/40_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/40_fountain.htm</a>",NA
"69","41 Fountain Avenue","41","Fountain Avenue",4,1,2,4,"NO",18,1,4,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/41_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/41_fountain.htm</a>",NA
"70","42 Fountain Avenue","42","Fountain Avenue",4,1.5,1.75,3,"NO",14,1,4,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/42_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/42_fountain.htm</a>",NA
"71","43 Fountain Avenue","43","Fountain Avenue",4,1,2,4,"NO",20,1,4,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/43_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/43_fountain.htm</a>",NA
"72","46 Fountain Avenue","46","Fountain Avenue",4,1.5,2,4,"NO",18,1,4,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/46_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/46_fountain.htm</a>",NA
"73","51 Fountain Avenue","51","Fountain Avenue",4,1,1.5,2,"NO",18,1,4,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/51_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/51_fountain.htm</a>",NA
"74","57 Fountain Avenue","57","Fountain Avenue",4,2,2,4,"NO",18,1,4,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/57_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/57_fountain.htm</a>",NA
"75","58 Fountain Avenue","58","Fountain Avenue",4,1,2,4,"NO",24,1,4,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/58_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/58_fountain.htm</a>",NA
"76","146B High Street","146B","High Street",4,1,1.75,3,"NO",24,9,5,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/146_high.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/146_high.htm</a>",NA
"77","42 Miles Avenue ","42","Miles Avenue ",4,1,2,4,"NO",22,4,6,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/42_miles.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/42_miles.htm</a>",NA
"78","235 Pine Street","235","Pine Street",4,1,2,4,"NO",10,4,4,5,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/235_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/235_pine.htm</a>",NA
"79","265 Pine Street","265","Pine Street",4,1,2,4,"NO",20,4,3,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/265_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/265_pine.htm</a>",NA
"80","266 Pine Street","266","Pine Street",4,1,1.75,3,"NO",37,4,3,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/266_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/266_pine.htm</a>",NA
"81","269 Pine Street ","269","Pine Street ",4,1,2,4,"NO",17,4,2,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/269_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/269_pine.htm</a>",NA
"82","273 Pine Street ","273","Pine Street ",4,1,2,4,"NO",17,3,2,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/273_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/273_pine.htm</a>",NA
"83","277 Pine Street ","277","Pine Street ",4,1,2,4,"NO",19,3,2,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/277_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/277_pine.htm</a>",NA
"84","9 Vine Street","9","Vine Street",4,2,2,4,"NO",21,3,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/9_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/9_vine.htm</a>",NA
"85","4 Warren Street","4","Warren Street",4,1,2,4,"NO",13,3,5,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/4_warren.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/4_warren.htm</a>",NA
"86","14A Warren Street","14A","Warren Street",4,1.5,2,4,"NO",33,3,6,1,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/14_warren_a.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/14_warren_a.htm</a>",NA
"87","264B Court Street","264B","Court Street",5,1.5,2,5,"NO",26,13,9,13,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/264 Court street.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/264 Court street.htm</a>",NA
"88","182 Cross Street","182","Cross Street",5,1,2,5,"NO",24,5,6,3,"NO","NO","NO","NO","<a href='https://www.wesleyan.edu/reslife/housing/woodframe/182_cross.htm' target='_blank'>https://www.wesleyan.edu/reslife/housing/woodframe/182_cross.htm</a>",NA
"89","115B Cross Street","115B","Cross Street",5,1.5,1.8,4,"NO",21,2,3,2,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/115 Cross Street.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/115 Cross Street.htm</a>",NA
"90","30 Fountain Avenue","30","Fountain Avenue",5,2,2,5,"NO",15,1,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/30_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/30_fountain.htm</a>",NA
"91","19A Fountain Avenue","19A","Fountain Avenue",5,2,2,5,"NO",20,1,6,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/19_fountain_a.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/19_fountain_a.htm</a>",NA
"92","19B Fountain Avenue","19B","Fountain Avenue",5,2,2,5,"NO",17,1,6,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/19_fountain_b.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/19_fountain_b.htm</a>",NA
